,SO2,Melanin,BackgroundHaematocrit,VesselDepth,VesselRadii,EpidermisThickness,EpidermisStart,Wavelength,OutputFile,VolumeFile,SettingsFile
0,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.000000000000001e-07,result_0_0_00.mc2,volume_0.bin,settings_0_0_00.json
1,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.100000000000001e-07,result_0_0_01.mc2,volume_0.bin,settings_0_0_01.json
2,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.200000000000001e-07,result_0_0_02.mc2,volume_0.bin,settings_0_0_02.json
3,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.3e-07,result_0_0_03.mc2,volume_0.bin,settings_0_0_03.json
4,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.4e-07,result_0_0_04.mc2,volume_0.bin,settings_0_0_04.json
5,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.5e-07,result_0_0_05.mc2,volume_0.bin,settings_0_0_05.json
6,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.6e-07,result_0_0_06.mc2,volume_0.bin,settings_0_0_06.json
7,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.7e-07,result_0_0_07.mc2,volume_0.bin,settings_0_0_07.json
8,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.8e-07,result_0_0_08.mc2,volume_0.bin,settings_0_0_08.json
9,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,7.900000000000001e-07,result_0_0_09.mc2,volume_0.bin,settings_0_0_09.json
10,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.000000000000001e-07,result_0_0_10.mc2,volume_0.bin,settings_0_0_10.json
11,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.100000000000001e-07,result_0_0_11.mc2,volume_0.bin,settings_0_0_11.json
12,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.200000000000001e-07,result_0_0_12.mc2,volume_0.bin,settings_0_0_12.json
13,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.300000000000001e-07,result_0_0_13.mc2,volume_0.bin,settings_0_0_13.json
14,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.4e-07,result_0_0_14.mc2,volume_0.bin,settings_0_0_14.json
15,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.5e-07,result_0_0_15.mc2,volume_0.bin,settings_0_0_15.json
16,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.6e-07,result_0_0_16.mc2,volume_0.bin,settings_0_0_16.json
17,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.7e-07,result_0_0_17.mc2,volume_0.bin,settings_0_0_17.json
18,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.8e-07,result_0_0_18.mc2,volume_0.bin,settings_0_0_18.json
19,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,8.900000000000001e-07,result_0_0_19.mc2,volume_0.bin,settings_0_0_19.json
20,0.9,0.01,0.08,0.003,0.002,0.0001,0.0003,9.000000000000001e-07,result_0_0_20.mc2,volume_0.bin,settings_0_0_20.json
21,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.000000000000001e-07,result_0_1_00.mc2,volume_0.bin,settings_0_1_00.json
22,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.100000000000001e-07,result_0_1_01.mc2,volume_0.bin,settings_0_1_01.json
23,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.200000000000001e-07,result_0_1_02.mc2,volume_0.bin,settings_0_1_02.json
24,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.3e-07,result_0_1_03.mc2,volume_0.bin,settings_0_1_03.json
25,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.4e-07,result_0_1_04.mc2,volume_0.bin,settings_0_1_04.json
26,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.5e-07,result_0_1_05.mc2,volume_0.bin,settings_0_1_05.json
27,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.6e-07,result_0_1_06.mc2,volume_0.bin,settings_0_1_06.json
28,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.7e-07,result_0_1_07.mc2,volume_0.bin,settings_0_1_07.json
29,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.8e-07,result_0_1_08.mc2,volume_0.bin,settings_0_1_08.json
30,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,7.900000000000001e-07,result_0_1_09.mc2,volume_0.bin,settings_0_1_09.json
31,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.000000000000001e-07,result_0_1_10.mc2,volume_0.bin,settings_0_1_10.json
32,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.100000000000001e-07,result_0_1_11.mc2,volume_0.bin,settings_0_1_11.json
33,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.200000000000001e-07,result_0_1_12.mc2,volume_0.bin,settings_0_1_12.json
34,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.300000000000001e-07,result_0_1_13.mc2,volume_0.bin,settings_0_1_13.json
35,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.4e-07,result_0_1_14.mc2,volume_0.bin,settings_0_1_14.json
36,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.5e-07,result_0_1_15.mc2,volume_0.bin,settings_0_1_15.json
37,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.6e-07,result_0_1_16.mc2,volume_0.bin,settings_0_1_16.json
38,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.7e-07,result_0_1_17.mc2,volume_0.bin,settings_0_1_17.json
39,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.8e-07,result_0_1_18.mc2,volume_0.bin,settings_0_1_18.json
40,0.9,0.1,0.08,0.003,0.002,0.0001,0.0003,8.900000000000001e-07,result_0_1_19.mc2,volume_0.bin,settings_0_1_19.json
